,0
Forschungsstelle Solothurnisches Orts- und Flurnamenbuch,
Fondation pour le LIMC,
Naturforschende Gesellschaft Basel Naturhistorisches Museum,
Appellationsgericht Basel-Stadt,BS
Kuratorium Urner Namenbuch,
Internat. Environmental Law Research Centre Internat. Environment House,
Pro Helvetia - Schweizer Kulturstiftung,
Observatoire Cantonal de Neuchâtel,NE
CERFIM,
Kantonsschule Appenzell A.Rh.,
Instituto Ricerche Solari Locarno ,TI
Chantier Ramuz Bibliothèque des Cèdres,
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),
Firmen/Privatwirtschaft ,
Abteilung Geowissenschaften Naturhistorisches Museum Basel,BS
Archäologie Schweizerisches Landesmuseum,
Stift. Pro Kloster St. Johann in Müstair,GR
Bureau de l'égalité entre les femmes et les hommes,
Institut für Geophysik ETH Zürich,ZH
Fachbereich Mathematik Departement Mathematik und Informatik Universität Basel,BS
Pädagogische Hochschule Zürich ,ZH
Kommission des Phonogrammarchivs Universität Zürich,ZH
Liceo Cantonale Locarno,TI
Institut de Zoologie Faculté des Sciences Université de Neuchâtel,NE
Schweizerisches Bundesgericht,
Sekretariat des Schweizerischen Apothekervereins,
Tk3 AG,AG
Bibliothek Kantonsschule Luzern,LU
"Verein ""Schweizerische Juristische Datenbank""",
Burgerbibliothek Bern,BE
Centre de Recherche de Genève,GE
Bundesamt für Meteorologie und Klimatologie MeteoSwiss,
Pädagogische Hochschule Bern ,BE
Institut für Pflegeforschung SBK,
Haute école pédagogique du canton de Vaud ,VD
Forschungsstelle für Orts- und Flurnamen,
HES de Suisse occidentale ,
Staatsarchiv,
Schweizerisches Bundesarchiv,
Schweiz. Stiftung Stockalperschloss,
Schweiz. Thesauruskommission,
Kantonsschule Abt. Biologie,
Servizio di documentazione Organizzazione sociopsichiatrica cantonale (OSC),
Kuratorium Carl J. Burckhardt,
Centre de rech. sur l'environnement alpin ,
Liceo Cantonale 1,
Staatsarchiv Uri,UR
Stiftsbibliothek St. Gallen,SG
Abwasserverband Altenrhein,SG
Inst. universit. romand de Santé au Travail ,
TA-SWISS Zentrum für Technologiefolgenabschätzung,
